stock_code,company_name,source_url,source_file,source_page,matched_term,evidence_text,review_status
00206.HK,華商能源科技股份有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,data/raw/hkex_reports/00206.HK/2025/annual_report.pdf,3,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","告 16 MANAGEMENT DISCUSSION AND ANALYSIS 20 管理層討論及分析 PROFILES OF DIRECTORS AND SENIOR MANAGEMENT 董事及高級管理層 38 REPORT OF THE DIRECTORS 45 董事會報告書 CORPORATE GOVERNANCE REPORT 70 企業管治報告 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 94 INDEPENDENT AUDITOR’S REPORT 195 獨立核數師報告 CONSOLIDATED FINANCIAL STATEMENTS 205 綜合財務報表 NOTES TO THE CONSOLIDATED FINANCIAL STATEMENTS 綜合財務報表附註 212 CORPORATE INFORMATION 322 公司資料",pending
00206.HK,華商能源科技股份有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,data/raw/hkex_reports/00206.HK/2025/annual_report.pdf,48,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","REPORT OF THE DIRECTORS 董事會報告書 ENVIRONMENTAL, SOCIAL AND GOVERNANCE POLICIES CM Energy considers a high degree of social responsibility, environmental protection, safety and sustainable economy as key factors in ensuring business continuity and success. The Company has introduced effective tools to ensure full implementation of social, safety and environmental policies within the Company to ensure compliance with the releva",pending
00206.HK,華商能源科技股份有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,data/raw/hkex_reports/00206.HK/2025/annual_report.pdf,72,"Environmental, Social and Governance"," More details of the Company’s culture and Company’s strategies could be found in different sections under the “Management Discussion and Analysis”, “Report of the Directors” and “Environmental, Social and Governance Report” in this report. CORPORATE GOVERNANCE PRACTICES For the year ended 31 December 2025, the Company has complied with all the applicable code provisions of the Corporate Governance Code (the “CG Code”) set out in Appendix C1 to the Listing Rules, except for a deviation from former code provision F.2.2 (renumbered as code provision F.1.3 with effect from",pending
00206.HK,華商能源科技股份有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,data/raw/hkex_reports/00206.HK/2025/annual_report.pdf,84,"environmental, social and governance","executive Directors, namely Mr. Zou Zhengdong, Ms. Zhang Zhen and Mr. Xue Jianzhong. The ESG Committee is mainly responsible for: (i) reviewing, developing and guiding the Group’s environmental, social and governance (“ESG”) vision, goals, strategies and structure and making recommendations to the Board on ESG matters, strategies and structure; (ii) identifying, determining and assessing the key trends in corporate ESG and the risks and opportunities related to ESG and report to the Board in this regard, if applicable; (iii) reviewing and assessing the adequacy and effe",pending
00206.HK,華商能源科技股份有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,data/raw/hkex_reports/00206.HK/2025/annual_report.pdf,96,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 ABOUT THIS REPORT Report Introduction CM Energy Technology Co., Ltd. and its subsidiaries (hereinafter referred to as “we”, “CM Energy”, or the “Group”) are pleased to release the 2025 Environmental, Social and Governance (ESG) Report (hereinafter referred to as “this Report”). This Report transparently discloses the Group’s environmental,",pending
00295.HK,江山控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,2,"Environmental, Social and Governance","ement 6 Financial Highlights 7 Management Discussion and Analysis 29 Biographical Details of Directors and Senior Management 32 Directors’ Report 50 Corporate Governance Report 67 Environmental, Social and Governance Report 115 Independent Auditor’s Report 121 123 125 126 128 Consolidated Statement of Profit or Loss and Other Comprehensive Income Consolidated Statement of Financial Position Consolidated Statement of Changes in Equity Consolidated Statement of Cash Flows Notes to the Financial Statements 210 Five-Year Financial Summary",pending
00295.HK,江山控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,49,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE"," Tang Jian CORPORATE GOVERNANCE The Company’s corporate governance principles and practices are set out in the Corporate Governance Report on pages 50 to 66 of this annual report. ENVIRONMENTAL, SOCIAL AND GOVERNANCE Information on the Company’s implementation of environmental and social responsibilities is set out in the Environmental, Social and Governance report on pages 67 to 114 of this annual report. AUDITOR On 7 January 2025, BDO Limited resigned as auditor of the Company. The Board appointed Suya WWC CPA Limited as the new auditor of the Company to fill the vaca",pending
00295.HK,江山控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,68,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT ABOUT THIS REPORT This environmental, social and governance (“ESG”) report of Kong Sun Holdings Limited (the “Group” or “we”) summarises and presents the sustainable development works of the Group from 1 January 2025 to 31 December 2025 (the “Year”). The ESG Report primarily sets out the overall environmental and social policies of the Group when con",pending
00295.HK,江山控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,69,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT (continued) Consistency In order to enhance and maintain comparability of ESG performances between years, the Group has strived to adopt consistent reporting and calculation methodologies as far as reasonably practicable. Any changes in methodologies and specific standards have been presented and explained in detail in corresponding sections. The Gro",pending
00295.HK,江山控股有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,70,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT (continued) ESG AND CLIMATE-RELATED GOVERNANCE FRAMEWORK The Group understands that good ESG governance is the key to the long-term development of an enterprise. To this end, the board of directors (the “Board”) of the Group upholds its primary leading role and management responsibilities in the ESG aspects, including overseeing the Group’s assessmen",pending
00600.HK,愛芯元智半導體股份有限公司 - H股,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,2,"Environmental, Social and Governance","orate Information Financial Highlights Business Review and Outlook Management Discussion and Analysis Directors and Senior Management Directors’ Report Corporate Governance Report Environmental, Social and Governance Report Independent Auditor’s Report  Consolidated Statements of Profit or Loss and Other Comprehensive Income Consolidated Statements of Financial Position Consolidated Statements of Changes in Equity Consolidated Statements of Cash Flows Notes to the Consolidated Financial Statements Four-Year Financial Summary Definitions",pending
00600.HK,愛芯元智半導體股份有限公司 - H股,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,66,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT About This Report This report is the first Environmental, Social and Governance (ESG) Report released by Axera Semiconductor Co., Ltd. (hereinafter referred to as “Group”, our “Group”, “the Group”, “we” or “us”), aiming to present the Group’s management policies and performance in environmental, social and governance aspects in 2025. Reporting Period",pending
00600.HK,愛芯元智半導體股份有限公司 - H股,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,67,"Environmental, Social and Governance","Environmental, Social and Governance Report (Continued) Contact Information We highly value the views of our stakeholders and the public regarding this report. Should you have any inquiries or suggestions, please contact the Group via the following channels. Address: Room 504, Sandhill Central, 505 Zhangjiang Road, Pudong New Area, Shanghai, PRC Email: ir@axera-tech.com Major Accolades Awards ",pending
00600.HK,愛芯元智半導體股份有限公司 - H股,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,68,"Environmental, Social and Governance","Environmental, Social and Governance Report (Continued) Based on the external environment and the Group’s development strategy, and taking into account disclosure standard requirements, capital market attention, and stakeholder communications, the Group has identified key ESG issues, including human capital development (training and development), employment management, supply chain management,",pending
00600.HK,愛芯元智半導體股份有限公司 - H股,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,69,"Environmental, Social and Governance","Environmental, Social and Governance Report (Continued) Stakeholders Concerns Communication Channels Group Responses Customers • • • • Protection of customer rights Product quality management Product R&D and technological innovation Information security and privacy protection • • • Daily operational communications Professional service teams Customer seminars • • • Suppliers and Partners • Gove",pending
00632.HK,中港石油有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300354.pdf,data/raw/hkex_reports/00632.HK/2025/annual_report.pdf,2,"Environmental, Social and Governance","Contents pages Corporate Information 2 Financial Highlights 3 Chairman’s Statement 4 Profiles of Directors 5 Management Discussion and Analysis 8 Environmental, Social and Governance Report 15 Corporate Governance Report 39 Directors’ Report 52 Independent Auditor’s Report 62 pages Consolidated Statement of Profit or Loss and Other Comprehensive Income 68 Consolidated Statement of Financial Position 69 Consolidated Statement of Changes in Equity 71 Consolidated Statement of Cash Flows 72 Notes to the Consolidated Financial Statements 73",pending
00632.HK,中港石油有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300354.pdf,data/raw/hkex_reports/00632.HK/2025/annual_report.pdf,16,"Environmental, Social and Governance","Environmental, Social and Governance Report ABOUT US The Company is principally engaged in the investment holding, exploring, exploiting and sale of oil and natural gas, and trading of oil, oil-related and other products. The Group holds exploitation interest in the Utah Gas and Oil Field located in Utah of the US. ABOUT THE ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT This Environmental, Socia",pending
00632.HK,中港石油有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300354.pdf,data/raw/hkex_reports/00632.HK/2025/annual_report.pdf,17,"Environmental, Social and Governance","Environmental, Social and Governance Report BOARD STATEMENT Dear Valued Stakeholders, On behalf of the Board, I am pleased to present the ESG Report of the Group, which demonstrates our growing commitment to improving our ESG performance in five aspects, including corporate governance, environmental protection, employment practices, operating practices and community investment. The Group belie",pending
00632.HK,中港石油有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300354.pdf,data/raw/hkex_reports/00632.HK/2025/annual_report.pdf,18,"Environmental, Social and Governance","Environmental, Social and Governance Report ESG GOVERNANCE STRUCTURE To ensure the ESG governance aligns with its business strategy and commitment to sustainability, the Group has developed an ESG governance structure that integrates ESG management into its business operations and decision-making process. The Board holds the overall responsibility for the Group’s ESG issues and sets out ESG ma",pending
00632.HK,中港石油有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300354.pdf,data/raw/hkex_reports/00632.HK/2025/annual_report.pdf,19,"Environmental, Social and Governance","Environmental, Social and Governance Report Stakeholders Communication channels Expectations Suppliers and contractors • Business meetings, emails and phone calls • Review and assessment • Fair tendering • Business ethics and reputation • Long-term partnership Employees • Trainings, seminars and briefing sessions • Staff performance appraisal interviews • Emails • Career development opportunit",pending
00639.HK,首鋼福山資源集團有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,data/raw/hkex_reports/00639.HK/2025/annual_report.pdf,2,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","MATION 公司資料 2 MAIN OPERATIONAL STRUCTURE 主要業務架構 4 FINANCIAL HIGHLIGHTS 財務摘要 5 OPERATING MINES 營運中之煤礦 7 CHAIRMAN’S STATEMENT 主席報告書 12 MANAGEMENT DISCUSSION AND ANALYSIS 管理層論述與分析 20 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 41 DIRECTORS’ BIOGRAPHIES 董事簡介 183 CORPORATE GOVERNANCE REPORT 企業管治報告 189 DIRECTORS’ REPORT 董事會報告 231 INDEPENDENT AUDITOR’S REPORT 獨立核數師報告 257 AUDITED CONSOLIDATED FINANCIAL STATEMENTS 經審核綜合財務報表 CONSOLIDATED STATEMENT OF PROFIT OR LOSS AND OTHER COMPREHENSIVE INCOME 綜合損益及其他全面收益表 266 CONSOLIDATED STATEMENT OF FINANCIAL POSITION 綜合財務狀況表 268 ",pending
00639.HK,首鋼福山資源集團有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,data/raw/hkex_reports/00639.HK/2025/annual_report.pdf,41,"environmental, social and governance","iciency and cost control capabilities, and steadily advance the construction of intelligent mines at its three mining operations. Meanwhile, the Group will continue to improve its environmental, social and governance (“ESG”) management system, strengthen its sustainable development capabilities, and support the Company in achieving long-term, stable and healthy development, thereby delivering sustainable long-term returns to shareholders. 未來展望（續） 煤炭市場方面，安全生產、穩定供應，淘汰落 後產能等相關政策持續推進，全年產量有望保 持相對穩定。進口煤方面，國際價格波動與進 口結構變化仍將對國內市場產生影響，相信在 政策引導與市場機制共同作用下，煤炭市場預 計將維持基本平衡格局。 本集團將持續保持",pending
00639.HK,首鋼福山資源集團有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,data/raw/hkex_reports/00639.HK/2025/annual_report.pdf,42,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","二零二五年年報 首鋼福山資源集團有限公司 41 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及 管治報告 ABOUT THE REPORT The report details the corporate social responsibility ideas and practices and the progress made by Shougang Fushan Resources Group Limited (the “Company”) and its subsidiaries (collectively referred to as the “Group”) in the economic, social and environmental aspects. It truly reflects the Group’s proactive performance o",pending
00639.HK,首鋼福山資源集團有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,data/raw/hkex_reports/00639.HK/2025/annual_report.pdf,43,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","SHOUGANG FUSHAN RESOURCES GROUP LIMITED 42 Annual Report 2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT (continued) 環境、社會及 管治報告（續） ABOUT THE REPORT (continued) • References The report is prepared based on the Environmental, Social and Governance Reporting Code (“ESG Reporting Code”) in Appendix C2 of the Main Board and GEM Listing Rules of the Stock Exchange of Hong Kong Limited (the “Stock Exchange”). It also refers to the GRI standards (GRI standards",pending
00639.HK,首鋼福山資源集團有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,data/raw/hkex_reports/00639.HK/2025/annual_report.pdf,44,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","二零二五年年報 首鋼福山資源集團有限公司 43 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT (continued) 環境、社會及 管治報告 （續） ESG STATEMENT OF THE BOARD OF DIRECTORS (continued) To systematically promote ESG management, the Group has established a complete ESG governance structure, clarifying the rights and responsibilities of each level. As the highest decision- making body for ESG affairs, the Board of Directors is responsible for reviewing ESG",pending
00645.HK,安域亞洲有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,data/raw/hkex_reports/00645.HK/2025/annual_report.pdf,2,"Environmental, Social and Governance","2026 2 Corporate Information 4 Chairman’s Statement 5 Management Discussion and Analysis 9 Directors’ Report 18 Biographical Details of Directors 20 Corporate Governance Report 35 Environmental, Social and Governance Report 58 Independent Auditor’s Report 63 Consolidated Statement of Comprehensive Income 64 Consolidated Statement of Financial Position 65 Consolidated Statement of Changes in Equity 66 Consolidated Statement of Cash Flows 67 Notes to the Consolidated Financial Statements 108 Financial Summary",pending
00645.HK,安域亞洲有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,data/raw/hkex_reports/00645.HK/2025/annual_report.pdf,10,"environmental, social and governance","y with laws and regulations regarding environmental protection and adopt effective measures to achieve efficient use of resources, energy saving and waste reduction. The Company’s environmental, social and governance report are set out in the Environmental, Social and Governance Report on pages 35 to 57 of this annual report. COMPLIANCE WITH THE RELEVANT LAWS AND REGULATIONS As far as the Board is aware, the Group has complied with the relevant laws and regulations in material respects that have a significant impact on the business and operation of the Group. During the",pending
00645.HK,安域亞洲有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,data/raw/hkex_reports/00645.HK/2025/annual_report.pdf,36,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","Ares Asia Limited Annual Report 2025-2026 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT ABOUT THE REPORT Ares Asia Limited (the “Company” and together with its subsidiaries, the “Group”) is delighted to present the Environmental, Social and Governance Report (“ESG Report”). This report aims to enhance stakeholders’ recognition of the Group’s environment and society performance and their understanding of the Group’s strategy for sustaina",pending
00645.HK,安域亞洲有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,data/raw/hkex_reports/00645.HK/2025/annual_report.pdf,37,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","Ares Asia Limited Annual Report 2025-2026 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT The Management acknowledges and is responsible for the day-to-day oversight of ESG-related matters, which includes: • • • • • designing, implementing, and monitoring ESG risk management and internal control systems; developing ESG policies and practices; setting and executing the ESG management approach, strategy, priorities, objectives and performan",pending
00645.HK,安域亞洲有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,data/raw/hkex_reports/00645.HK/2025/annual_report.pdf,38,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","Ares Asia Limited Annual Report 2025-2026 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT MATERIALITY ASSESSMENT The Group conducts an annual materiality assessment to systematically identify and prioritize material environmental and social issues by analyzing stakeholder concerns. The priority of ESG issues is reviewed by benchmarking against sustainability reporting standards. The specific process is as follows: Engaging with senior man",pending
00650.HK,普達特科技有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/hkex_reports/00650.HK/2024/annual_report.pdf,2,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ANAGEMENT DISCUSSION AND ANAL YSIS 管理層討論及分析 18 DIRECTORS’ AND SENIOR MANAGEMENT’S BIOGRAPHIES 董事及高級管理人員簡介 57 REPORT OF THE DIRECTORS 董事會報告 66 CORPORATE GOVERNANCE REPORT 企業管治報告 90 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 113 INDEPENDENT AUDITOR’S REPORT 獨立核數師報告 207 AUDITED CONSOLIDATED FINANCIAL STATEMENTS 經審核綜合財務報表 CONSOLIDATED STATEMENT OF PROFIT OR LOSS 綜合損益表 215 CONSOLIDATED STATEMENT OF PROFIT OR LOSS AND OTHER COMPREHENSIVE INCOME 綜合損益及其他全面收益表 217 CONSOLIDATED STATEMENT OF FINANCIAL POSITION 綜合財務狀況表 218 CONSOLIDATED STATEMENT OF CHANGES IN EQUITY 綜合權",pending
00650.HK,普達特科技有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/hkex_reports/00650.HK/2024/annual_report.pdf,89,"Environmental, Social and Governance","4, and the circular of the Company dated 6 September 2022. ENVIRONMENTAL POLICY AND PERFORMANCE Details of the environmental policy and performance of the Group are set out in the Environmental, Social and Governance Report on pages 113 to 206 of this annual report. RELATIONSHIPS WITH EMPLOYEES, SUPPLIERS AND CUSTOMERS Details of the relationships of the Group with employees, suppliers and customers are set out in the Environmental, Social and Governance Report on pages 113 to 206 of this annual report. COMPLIANCE WITH LAWS AND REGULATIONS In FY2024, as far as the Compa",pending
00650.HK,普達特科技有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/hkex_reports/00650.HK/2024/annual_report.pdf,114,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 CONTENTS 目錄 ABOUT THIS REPORT 關於本報告 114 STATEMENT OF THE BOARD OF DIRECTORS 董事會聲明 116 VISION OF ESG MANAGEMENT ESG管理願景 117 STAKEHOLDER ENGAGEMENT 利益相關方溝通 118 MATERIALITY ASSESSMENT 重要性評估 121 1. STABLE BUSINESS OPERATION, MUTUAL BENEFIT 1.穩健經營 互惠共贏 123 AND WIN-WIN 1.1 Rising to the Challenge and Pursuing Innovation-driven 1.1勇於挑戰 創新引領 123 D",pending
00650.HK,普達特科技有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/hkex_reports/00650.HK/2024/annual_report.pdf,115,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 ABOUT THIS REPORT This is the ninth Environmental, Social and Governance (“ESG”) Report issued by Productive Technologies Company Limited (the “Company”). This report mainly introduces the Company and its subsidiaries’ (the “Group”) policies and measures regarding ESG issues and is meant to strengthen communication and engagement with inte",pending
00650.HK,普達特科技有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,data/raw/hkex_reports/00650.HK/2024/annual_report.pdf,116,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE","ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 環境、社會及管治報告 T i me R an ge The Company ’s ESG report is an annual report and this report is for the period from 1 April 2024 to 31 March 2025. 時 間範 圍 本公司的環境、社會及管治報告為年度報告， 報告期間為二零二四年四月一日至二零二五 年三月三十一日。 P ri nci pl e of P re parat i on This report is prepared according to the following principles: 編 製 原則 本報告乃根據以下原則編製： Materiality: We identified key ESG i",pending
00689.HK,長盈集團(控股)有限公司,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902496.pdf,data/raw/hkex_reports/00689.HK/2025/annual_report.pdf,3,"Environmental, Social and Governance","atement from the Board 7 Management Discussion and Analysis 23 Biographical Details of Directors and Senior Management 25 Report of the Directors 31 Corporate Governance Report 47 Environmental, Social and Governance Report 82 Independent Auditor’s Report 87 Consolidated Statement of Profit or Loss and Other Comprehensive Income 89 Consolidated Statement of Financial Position 91 93 Consolidated Statement of Changes in Equity Consolidated Statement of Cash Flows 95 Notes to the Consolidated Financial Statements 168 Five-Year Financial Summary",pending
